FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,24450025,AC2264480643140,1,$PAY,10462704,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24450025,AC2264480643139,1,$PAY,10567376,,,18/02/2023,-1587.00,CR,ST,,,,
$S1CSR,24630636,CC2283550041397,1,$PAY,10473204,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24630636,CC2283550041396,1,$PAY,10588043,,,18/02/2023,-500.00,CR,ST,,,,
$S1CSR,24870685,AC2353870201810,1,$PAY,10611524,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24513780,CC2357660113999,1,$PAY,10519728,,,18/02/2023,-589.00,CR,ST,,,,
$S1CSR,24426835,CC2406290373613,1,$PAY,10475200,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24426835,CC2406290373612,1,$PAY,10592075,,,18/02/2023,-5561.00,CR,ST,,,,
$S1CSR,24637771,CC2436000438267,1,$PAY,10431966,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24637771,CC2436000438266,1,$PAY,10507573,,,18/02/2023,-2582.00,CR,ST,,,,
$S1CSR,24836595,AC2452270314244,1,$PAY,10451554,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24836595,AC2452270314243,1,$PAY,10545273,,,18/02/2023,-2582.00,CR,ST,,,,
$S1CSR,24787917,QC2458170216108,1,$PAY,10469034,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24787917,QC2458170216107,1,$PAY,10579505,,,18/02/2023,-3626.00,CR,ST,,,,
$S1CSR,13941719,CC2881980327765,1,$PAY,10411487,,,18/02/2023,-25163.00,CR,ST,,,,
$S1CSR,24412809,CC3551940171782,1,$PAY,10495914,,,18/02/2023,-3274.00,CR,ST,,,,
$S1CSR,10925941,CC3551940175135,1,$PAY,10462340,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,11412766,CC3551940159431,1,$PAY,10474674,,,18/02/2023,-81.50,CR,ST,,,,
$S1CSR,11412766,CC3551940159429,1,$PAY,10488780,,,18/02/2023,-3825.00,CR,ST,,,,
$S1CSR,13654595,CC3551940158190,1,$PAY,10390664,,,18/02/2023,-2600.00,CR,ST,,,,
$S1CSR,13734037,CC3551940160083,1,$PAY,10408110,,,18/02/2023,-12663.00,CR,ST,,,,
$S1CSR,13895812,CC3551940171756,1,$PAY,10430664,,,18/02/2023,-5201.00,CR,ST,,,,
$S1CSR,14150674,CC3551940158790,1,$PAY,10627693,,,18/02/2023,-2468.12,CR,ST,,,,
$S1CSR,14210658,CC3551940173993,1,$PAY,10398711,,,18/02/2023,-21563.00,CR,ST,,,,
$S1CSR,14241311,CC3551940173018,1,$PAY,10468950,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,14289692,CC3551940158169,1,$PAY,10539395,,,18/02/2023,-4829.00,CR,ST,,,,
$S1CSR,14317717,CC3551940155061,1,$PAY,10450500,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24457499,CC3551940171722,1,$PAY,10438400,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24457499,CC3551940171719,1,$PAY,10520426,,,18/02/2023,-500.00,CR,ST,,,,
$S1CSR,24494914,CC3551940160814,1,$PAY,10427542,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24524997,CC3551940160118,1,$PAY,10544202,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24553758,CC3551940160080,1,$PAY,10441690,,,18/02/2023,-163.00,CR,ST,,,,
$S1CSR,24553758,CC3551940159443,1,$PAY,10527255,,,18/02/2023,-7568.00,CR,ST,,,,
$S1CSR,24945418,CC3551940175166,1,$PAY,10631550,,,18/02/2023,-2074.00,CR,ST,,,,
$S1CSR,24945418,CC3551940175171,1,$PAY,10635890,,,18/02/2023,-81.50,CR,ST,,,,
$S1CSR,24992657,CC3551940172343,1,$PAY,10639897,,,18/02/2023,-11988.75,CR,ST,,,,
$S1CSR,24983379,CC3551940174246,1,$PAY,10530992,,,18/02/2023,-2000.00,CR,ST,,,,
