FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,10503795,BPSTG0020951058,1,$PAY,10609004,,,17/02/2023,-81.50,CR,ST,,,,
$S1CSR,12415562,BPCBA0647857427,1,$PAY,10410969,,,17/02/2023,-21173.48,CR,ST,,,,
$S1CSR,12422527,BPCBA0147570000,1,$PAY,10403896,,,17/02/2023,-10000.00,CR,ST,,,,
$S1CSR,12655433,BPCBA0147567577,1,$PAY,10406546,,,17/02/2023,-11529.00,CR,ST,,,,
$S1CSR,12805418,BPCBA0747885726,1,$PAY,10396109,,,17/02/2023,-15044.72,CR,ST,,,,
$S1CSR,12837009,BPP623330078728,1,$PAY,10051438,,,17/02/2023,-16093.00,CR,ST,,,,
$S1CSR,12888172,BPNAB7685197500,1,$PAY,10394763,,,17/02/2023,-5003.00,CR,ST,,,,
$S1CSR,12888172,BPNAB7685203723,1,$PAY,10601858,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,13037724,BPNAB3173964920,1,$PAY,10484252,,,17/02/2023,-3445.00,CR,ST,,,,
$S1CSR,13037724,BPNAB3174265379,1,$PAY,10439072,,,17/02/2023,-81.50,CR,ST,,,,
$S1CSR,13052143,BPCBA0147606297,1,$PAY,10414437,,,17/02/2023,-4693.25,CR,ST,,,,
$S1CSR,13054705,BPCBA0747896019,1,$PAY,10409872,,,17/02/2023,-12581.50,CR,ST,,,,
$S1CSR,13118652,BPCBA0747899104,1,$PAY,10404004,,,17/02/2023,-12086.50,CR,ST,,,,
$S1CSR,13160104,BPCBA0147604944,1,$PAY,10411025,,,17/02/2023,-1675.30,CR,ST,,,,
$S1CSR,13213830,BPCBA0347802536,1,$PAY,10647198,,,17/02/2023,-1482.00,CR,ST,,,,
$S1CSR,13365503,BPCBA0547825309,1,$PAY,10608820,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,13393943,BPCBA0147556073,1,$PAY,10402986,,,17/02/2023,-10781.50,CR,ST,,,,
$S1CSR,13482512,BPCBA0747905252,1,$PAY,10396368,,,17/02/2023,-10030.99,CR,ST,,,,
$S1CSR,13486016,BPANZ1430448696,1,$PAY,10406684,,,17/02/2023,-1000.00,CR,ST,,,,
$S1CSR,13486016,BPANZ1460908861,1,$PAY,10406684,,,17/02/2023,-1000.00,CR,ST,,,,
$S1CSR,13486016,BPCBA0147575695,1,$PAY,10406684,,,17/02/2023,-100.00,CR,ST,,,,
$S1CSR,13486016,BPCBA0147579064,1,$PAY,10406684,,,17/02/2023,-5000.00,CR,ST,,,,
$S1CSR,13486016,BPCBA0147579373,1,$PAY,10406684,,,17/02/2023,-3900.00,CR,ST,,,,
$S1CSR,13486927,BPCBA0147520546,1,$PAY,10396374,,,17/02/2023,-24173.00,CR,ST,,,,
$S1CSR,13488782,BPCBA0247788529,1,$PAY,10395979,,,17/02/2023,-300.00,CR,ST,,,,
$S1CSR,13530213,BPANZ4609294450,1,$PAY,10610266,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,13638818,BPCBA0147561169,1,$PAY,10410389,,,17/02/2023,-6750.50,CR,ST,,,,
$S1CSR,13652019,BPCBA0747887002,1,$PAY,10403096,,,17/02/2023,-16213.00,CR,ST,,,,
$S1CSR,13666452,BPCBA0147556686,1,$PAY,10404164,,,17/02/2023,-19663.48,CR,ST,,,,
$S1CSR,13694993,BPCBA0147577333,1,$PAY,10610548,,,17/02/2023,-81.50,CR,ST,,,,
$S1CSR,13713654,BPCBA0747881263,1,$PAY,10406689,,,17/02/2023,-12086.50,CR,ST,,,,
$S1CSR,13718832,BPCBA0447814156,1,$PAY,10606523,,,17/02/2023,-25163.00,CR,ST,,,,
$S1CSR,13719669,BPP626777331635,1,$PAY,10414863,,,17/02/2023,-14971.75,CR,ST,,,,
$S1CSR,13725066,BPANZ9602470583,1,$PAY,10403157,,,17/02/2023,-14971.75,CR,ST,,,,
$S1CSR,13734191,BPCBA0547835448,1,$PAY,10404897,,,17/02/2023,-28288.00,CR,ST,,,,
$S1CSR,13738594,BPSTG0061426364,1,$PAY,10418520,,,17/02/2023,-10781.50,CR,ST,,,,
$S1CSR,13801485,BPCBA0647851666,1,$PAY,10414073,,,17/02/2023,-11307.75,CR,ST,,,,
