FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,24911721,PTTSC651206583T,1,$PAY,,,,17/02/2023,-15988.00,CR,ST,,,,
$S1CSR,13994797,PTTSC204811289T,1,$PAY,,,,17/02/2023,-19408.00,CR,ST,,,,
$S1CSR,14436024,PTTSC955075014T,1,$PAY,,,,17/02/2023,-10766.64,CR,ST,,,,
$S1CSR,13993807,PTTSC867618433T,1,$PAY,,,,17/02/2023,-21670.00,CR,ST,,,,
$S1CSR,25040508,PTTSC583429754T,1,$PAY,,,,17/02/2023,-18160.00,CR,ST,,,,
$S1CSR,24801589,PTTSC615700999T,1,$PAY,,,,17/02/2023,-21400.00,CR,ST,,,,
$S1CSR,14212981,PTTSC647723065C,1,$PAY,,,,17/02/2023,-50.00,CR,ST,,,,
$S1CSR,24883439,PTTSC843835946T,1,$PAY,,,,17/02/2023,-4833.00,CR,ST,,,,
$S1CSR,14212981,PTTSC944115983C,1,$PAY,,,,17/02/2023,-12400.00,CR,ST,,,,
$S1CSR,24973339,PTTSC142548762T,1,$PAY,,,,17/02/2023,-18265.00,CR,ST,,,,
